Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
Dorine_Battery,Termica,MCI,No_Incorporado,Ecuador,5.4,,,,,,2000,,,-0.2655114,-75.8920692,,
Dorine_G,Termica,MCI,No_Incorporado,Ecuador,0.27,,,,,,2000,,,-0.2655114,-75.8920692,,
Dorine_H,Termica,MCI,No_Incorporado,Ecuador,0.75,,,,,,2000,,,-0.2655114,-75.8920692,,
Due,Hidraulica,Pasada,S.N.I.,Ecuador,49.71,,,,,,2000,,,0.1116857,-77.6398817,,
Dumbique,Termica,MCI,No_Incorporado,Ecuador,2.6,,,,,,2000,,,-0.78618,-76.4803184,,
Ecoelectric,Biomasa,Turbovapor,S.N.I.,Ecuador,35.2,,,,,,2000,,,-2.1171796,-79.5566606,,
Ecudos_A-G,Biomasa,Turbovapor,S.N.I.,Ecuador,27.6,,,,,,2000,,,-2.4239,-79.3367,,
El_Carmen,Hidraulica,Pasada,S.N.I.,Ecuador,8.2,,,,,,2000,,,-0.215492,-78.5013648,,
El_Descanso,Termica,MCI,S.N.I.,Ecuador,17.2,,,,,,2000,,,-2.6317292,-78.7008934,,
El_Estado,Hidraulica,Pasada,No_Incorporado,Ecuador,1.66,,,,,,2000,,,-1.0077047,-78.8559205,,
El_Inga,Biogas,MCI,S.N.I.,Ecuador,5.5,,,,,,2000,,,-0.215492,-78.5013648,,
Electrisol,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-0.2149977,-78.4968845,,
Electrocordova,Hidraulica,Pasada,S.N.I.,Ecuador,0.2,,,,,,2000,,,0.3955234,-78.4507013,,
Enersol,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,0.49,,,,,,2000,,,-0.9739097,-80.6020847,,
Enrique_Garcia,Termica,Turbogas,S.N.I.,Ecuador,96.0,,,,,,2000,,,-2.1899066,-79.887726,,
EPF-Eden_Yuturi,Termica,MCI,No_Incorporado,Ecuador,85.51,,,,,,2000,,,-0.78618,-76.4803184,,
Esmeraldas_I,Termica,Turbovapor,S.N.I.,Ecuador,125.0,,,,,,2000,,,0.7343619,-79.3858867,,
Esmeraldas_II,Termica,MCI,S.N.I.,Ecuador,84.0,,,,,,2000,,,0.7343619,-79.3858867,,
Espejo,Hidraulica,Pasada,S.N.I.,Ecuador,0.4,,,,,,2000,,,0.6541,-77.9453,,
Estacion_CFE,Termica,MCI,No_Incorporado,Ecuador,0.12,,,,,,2000,,,0.0667,-75.9333,,
Estacion_Dayuma,Termica,MCI,No_Incorporado,Ecuador,0.13,,,,,,2000,,,-0.78618,-76.4803184,,
Estacion_ENO,Termica,MCI,No_Incorporado,Ecuador,0.58,,,,,,2000,,,0.0854,-76.8915,,
Estacion_Mira,Termica,MCI,No_Incorporado,Ecuador,0.17,,,,,,2000,,,0.0667,-75.9333,,
Estacion_Norte,Termica,MCI,No_Incorporado,Ecuador,0.29,,,,,,2000,,,0.0807,-77.5649,,
Estacion_Ocano,Termica,MCI,No_Incorporado,Ecuador,0.61,,,,,,2000,,,0.0667,-75.9333,,
Estacion_Pena_Blanca,Termica,MCI,No_Incorporado,Ecuador,0.46,,,,,,2000,,,0.0667,-75.9333,,
Estacion_Rayo,Termica,MCI,No_Incorporado,Ecuador,0.72,,,,,,2000,,,0.0807,-77.5649,,
Estacion_Ron,Termica,MCI,No_Incorporado,Ecuador,0.22,,,,,,2000,,,0.0854,-76.8915,,
Estacion_Sur,Termica,MCI,No_Incorporado,Ecuador,1.15,,,,,,2000,,,0.0807,-77.5649,,
Fabrica_Imbabura,Hidraulica,Pasada,S.N.I.,Ecuador,0.61,,,,,,2000,,,0.3327,-78.2167,,
Fanny_50,Termica,MCI,No_Incorporado,Ecuador,0.5,,,,,,2000,,,-0.2655114,-75.8920692,,
Floreana,Termica,MCI,No_Incorporado,Ecuador,0.24,,,,,,2000,,,-0.9151226,-89.5662955,,
Floreana_Perla_Solar,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.02,,,,,,2000,,,-0.9151226,-89.5662955,,
Floreana_Solar_Aislados,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.01,,,,,,2000,,,-0.9151226,-89.5662955,,
Frontera,Termica,MCI,No_Incorporado,Ecuador,1.76,,,,,,2000,,,0.0854,-76.8915,,
Gacela,Termica,MCI,No_Incorporado,Ecuador,3.82,,,,,,2000,,,-0.78618,-76.4803184,,
Generoca,Termica,MCI,S.N.I.,Ecuador,34.4,,,,,,2000,,,-2.1899066,-79.887726,,
Genrenotec,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,0.99,,,,,,2000,,,-2.1899066,-79.887726,,
Geppert,Hidraulica,Pasada,S.N.I.,Ecuador,1.65,,,,,,2000,,,-0.0038813,-78.0481801,,
Gonzalo_Zevallos_(Gas),Termica,Turbogas,S.N.I.,Ecuador,20.0,,,,,,2000,,,-2.1899066,-79.887726,,
Gonzalo_Zevallos_(Vapor),Termica,Turbovapor,S.N.I.,Ecuador,140.0,,,,,,2000,,,-2.1899066,-79.887726,,
Gonzanergy,Fotovoltaica,Fotovoltaica,S.N.I.,Ecuador,1.0,,,,,,2000,,,-4.2303,-79.4366,,
Gualaceo,Hidraulica,Pasada,S.N.I.,Ecuador,0.97,,,,,,2000,,,-2.9179486,-78.846188,,
Gualberto_Hernandez,Termica,MCI,S.N.I.,Ecuador,31.2,,,,,,2000,,,-0.215492,-78.5013648,,
Guangopolo_0,Termica,MCI,S.N.I.,Ecuador,21.8,,,,,,2000,,,-0.215492,-78.5013648,,
Guangopolo_1,Hidraulica,Pasada,S.N.I.,Ecuador,20.92,,,,,,2000,,,-0.215492,-78.5013648,,
Guangopolo_2,Termica,MCI,S.N.I.,Ecuador,48.0,,,,,,2000,,,-0.215492,-78.5013648,,
Guanta,Termica,MCI,No_Incorporado,Ecuador,9.77,,,,,,2000,,,0.0854,-76.8915,,
Hidrocarolina,Hidraulica,Pasada,S.N.I.,Ecuador,0.88,,,,,,2000,,,0.3478421,-78.1173588,,
Hidrosanbartolo,Hidraulica,Pasada,S.N.I.,Ecuador,49.95,,,,,,2000,,,-3.7939049,-79.2817721,,
Hidrotambo,Hidraulica,Pasada,S.N.I.,Ecuador,8.0,,,,,,2000,,,-1.9432708,-79.0660695,,
Hormiguero_A,Termica,MCI,No_Incorporado,Ecuador,0.77,,,,,,2000,,,-0.78618,-76.4803184,,
Hormiguero_B,Termica,MCI,No_Incorporado,Ecuador,0.83,,,,,,2000,,,-0.78618,-76.4803184,,
Hormiguero_C,Termica,MCI,No_Incorporado,Ecuador,7.85,,,,,,2000,,,-0.78618,-76.4803184,,
Hormiguero_D,Termica,MCI,No_Incorporado,Ecuador,3.0,,,,,,2000,,,-0.78618,-76.4803184,,
Hormiguero_Sur,Termica,MCI,No_Incorporado,Ecuador,4.08,,,,,,2000,,,-0.78618,-76.4803184,,
Illuchi_No.1,Hidraulica,Pasada,S.N.I.,Ecuador,4.0,,,,,,2000,,,-0.9336215,-78.6150488,,
Illuchi_No.2,Hidraulica,Pasada,S.N.I.,Ecuador,5.2,,,,,,2000,,,-0.9336215,-78.6150488,,
Indillana,Termica,MCI,No_Incorporado,Ecuador,2.28,,,,,,2000,,,-0.78618,-76.4803184,,
Ipnegal,Hidraulica,Pasada,S.N.I.,Ecuador,10.36,,,,,,2000,,,-0.215492,-78.5013648,,
Isabela,Termica,MCI,No_Incorporado,Ecuador,4.09,,,,,,2000,,,-2.8959964,-79.0193947,,
Isabela_Solar,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.95,,,,,,2000,,,-2.8959964,-79.0193947,,
Isabela_Solar_Aislados,Fotovoltaica,Fotovoltaica,No_Incorporado,Ecuador,0.01,,,,,,2000,,,-2.8959964,-79.0193947,,
Itaya_A,Termica,MCI,No_Incorporado,Ecuador,1.35,,,,,,2000,,,-0.2886094,-76.5906632,,
Itaya_B,Termica,MCI,No_Incorporado,Ecuador,1.1,,,,,,2000,,,-0.2886094,-76.5906632,,
Jaguar,Termica,MCI,No_Incorporado,Ecuador,0.29,,,,,,2000,,,-0.78618,-76.4803184,,
Jaramijo,Termica,MCI,S.N.I.,Ecuador,128.88,,,,,,2000,,,-0.9739097,-80.6020847,,
Jivino_A,Termica,MCI,No_Incorporado,Ecuador,0.76,,,,,,2000,,,-0.2886094,-76.5906632,,
Jivino_C,Termica,MCI,No_Incorporado,Ecuador,0.23,,,,,,2000,,,-0.2886094,-76.5906632,,
Jivino_I,Termica,MCI,S.N.I.,Ecuador,5.4,,,,,,2000,,,-0.2886094,-76.5906632,,
Jivino_II,Termica,MCI,S.N.I.,Ecuador,10.0,,,,,,2000,,,-0.2886094,-76.5906632,,
Jivino_III,Termica,MCI,S.N.I.,Ecuador,42.0,,,,,,2000,,,-0.2886094,-76.5906632,,
Kohler,Termica,MCI,S.N.I.,Ecuador,1.4,,,,,,2000,,,-0.0038813,-78.0481801,,
Kupi_1,Termica,MCI,No_Incorporado,Ecuador,1.83,,,,,,2000,,,-0.78618,-76.4803184,,
Kupi_4,Termica,MCI,No_Incorporado,Ecuador,1.5,,,,,,2000,,,-0.78618,-76.4803184,,
La_Calera,Hidraulica,Pasada,S.N.I.,Ecuador,1.98,,,,,,2000,,,-0.4984774,-78.6516915,,
La_Playa,Hidraulica,Pasada,S.N.I.,Ecuador,1.23,,,,,,2000,,,0.811,-77.7173,,
La_Propicia,Termica,MCI,S.N.I.,Ecuador,8.5,,,,,,2000,,,0.7343619,-79.3858867,,
Lago_Agrio,Termica,MCI,No_Incorporado,Ecuador,11.12,,,,,,2000,,,0.0854,-76.8915,,
Lago_Agrio_LTF,Termica,MCI,No_Incorporado,Ecuador,1.28,,,,,,2000,,,0.0854,-76.8915,,
